date,cases,deaths
2020-06-01,341.0,10.0
2020-06-02,28.0,6.0
2020-06-03,15.0,4.0
2020-06-04,39.0,7.0
2020-06-05,31.0,2.0
2020-06-06,34.0,7.0
2020-06-07,16.0,3.0
2020-06-08,9.0,4.0
2020-06-09,32.0,8.0
2020-06-10,14.0,5.0
2020-06-11,22.0,4.0
2020-06-12,22.0,7.0
2020-06-13,16.0,2.0
2020-06-14,29.0,0.0
2020-06-15,5.0,5.0
2020-06-16,2.0,3.0
2020-06-17,8.0,2.0
2020-06-18,33.0,5.0
2020-06-19,11.0,4.0
2020-06-20,10.0,1.0
2020-06-21,7.0,2.0
2020-06-22,9.0,3.0
2020-06-23,12.0,1.0
2020-06-24,6.0,4.0
2020-06-25,15.0,3.0
2020-06-26,21.0,4.0
2020-06-27,15.0,2.0
2020-06-28,10.0,3.0
2020-06-29,5.0,3.0
2020-06-30,8.0,-1.0
2020-07-01,12.0,-2.0
2020-07-02,11.0,0.0
2020-07-03,15.0,2.0
2020-07-04,12.0,2.0
2020-07-05,6.0,1.0
2020-07-06,8.0,0.0
2020-07-07,9.0,1.0
2020-07-08,8.0,4.0
2020-07-09,12.0,1.0
2020-07-10,9.0,3.0
2020-07-11,16.0,1.0
2020-07-12,9.0,1.0
2020-07-13,11.0,0.0
2020-07-14,8.0,1.0
2020-07-15,2.0,6.0
2020-07-16,15.0,2.0
2020-07-17,18.0,5.0
2020-07-18,3.0,1.0
2020-07-19,21.0,1.0
2020-07-20,5.0,1.0
2020-07-21,9.0,3.0
2020-07-22,14.0,1.0
2020-07-23,23.0,1.0
2020-07-24,16.0,0.0
2020-07-25,11.0,1.0
2020-07-26,18.0,2.0
2020-07-27,15.0,1.0
2020-07-28,18.0,1.0
2020-07-29,25.0,1.0
2020-07-30,15.0,1.0
2020-07-31,28.0,2.0
2020-08-01,21.0,1.0
2020-08-02,8.0,1.0
2020-08-03,11.0,1.0
2020-08-04,37.0,1.0
2020-08-05,22.0,0.0
2020-08-06,8.0,3.0
2020-08-07,19.0,1.0
2020-08-08,14.0,2.0
2020-08-09,19.0,1.0
2020-08-10,13.0,1.0
2020-08-11,30.0,1.0
2020-08-12,0.0,0.0
2020-08-13,0.0,0.0
2020-08-14,0.0,0.0
2020-08-15,0.0,0.0
2020-08-16,0.0,0.0
2020-08-17,0.0,0.0
2020-08-18,0.0,0.0
2020-08-19,0.0,7.0
2020-08-20,0.0,1.0
2020-08-21,152.0,0.0
2020-08-22,3.0,5.0
2020-08-23,0.0,0.0
2020-08-24,40.0,1.0
2020-08-25,20.0,0.0
2020-08-26,14.0,1.0
2020-08-27,18.0,1.0
2020-08-28,30.0,1.0
2020-08-29,32.0,0.0
2020-08-30,15.0,1.0
2020-08-31,13.0,1.0
2020-09-01,21.0,0.0
2020-09-02,21.0,0.0
2020-09-03,21.0,1.0
2020-09-04,0.0,2.0
2020-09-05,0.0,1.0
2020-09-06,0.0,0.0
2020-09-07,0.0,0.0
2020-09-08,89.0,1.0
2020-09-09,15.0,0.0
2020-09-10,20.0,1.0
2020-09-11,41.0,0.0
2020-09-12,36.0,1.0
2020-09-13,13.0,3.0
2020-09-14,22.0,1.0
2020-09-15,19.0,0.0
2020-09-16,24.0,2.0
2020-09-17,21.0,2.0
2020-09-18,35.0,0.0
2020-09-19,29.0,3.0
2020-09-20,17.0,0.0
2020-09-21,7.0,1.0
2020-09-22,11.0,1.0
2020-09-23,0.0,0.0
2020-09-24,16.0,3.0
2020-09-25,29.0,1.0
2020-09-26,18.0,1.0
2020-09-27,32.0,0.0
2020-09-28,28.0,3.0
2020-09-29,27.0,0.0
2020-09-30,51.0,0.0
2020-10-01,30.0,3.0
2020-10-02,45.0,0.0
2020-10-03,42.0,3.0
2020-10-04,32.0,1.0
2020-10-05,23.0,0.0
2020-10-06,48.0,0.0
2020-10-07,17.0,1.0
2020-10-08,34.0,0.0
2020-10-09,72.0,1.0
2020-10-10,42.0,1.0
2020-10-11,46.0,0.0
2020-10-12,106.0,3.0
2020-10-13,56.0,1.0
2020-10-14,44.0,2.0
2020-10-15,62.0,7.0
2020-10-16,54.0,7.0
2020-10-17,33.0,2.0
2020-10-18,46.0,2.0
2020-10-19,74.0,0.0
2020-10-20,93.0,2.0
2020-10-21,38.0,3.0
2020-10-22,71.0,5.0
2020-10-23,80.0,6.0
2020-10-24,92.0,0.0
2020-10-25,56.0,3.0
2020-10-26,94.0,3.0
2020-10-27,77.0,2.0
2020-10-28,56.0,4.0
2020-10-29,73.0,3.0
2020-10-30,63.0,1.0
2020-10-31,77.0,1.0
2020-11-01,68.0,2.0
2020-11-02,50.0,2.0
2020-11-03,66.0,2.0
2020-11-04,84.0,5.0
2020-11-05,98.0,0.0
2020-11-06,93.0,0.0
2020-11-07,109.0,2.0
2020-11-08,64.0,1.0
2020-11-09,63.0,0.0
2020-11-10,114.0,4.0
2020-11-11,120.0,7.0
2020-11-12,124.0,0.0
2020-11-13,87.0,1.0
2020-11-14,124.0,2.0
2020-11-15,73.0,4.0
2020-11-16,131.0,1.0
2020-11-17,115.0,4.0
2020-11-18,114.0,4.0
2020-11-19,126.0,2.0
2020-11-20,119.0,2.0
2020-11-21,112.0,0.0
2020-11-22,129.0,1.0
2020-11-23,86.0,2.0
2020-11-24,116.0,0.0
2020-11-25,135.0,3.0
2020-11-26,0.0,0.0
2020-11-27,286.0,4.0
2020-11-28,126.0,0.0
2020-11-29,93.0,0.0
2020-11-30,98.0,1.0
2020-12-01,204.0,3.0
2020-12-02,260.0,6.0
2020-12-03,395.0,4.0
2020-12-04,243.0,4.0
2020-12-05,354.0,1.0
2020-12-06,241.0,6.0
2020-12-07,181.0,1.0
2020-12-08,276.0,2.0
2020-12-09,310.0,2.0
2020-12-10,400.0,3.0
2020-12-11,307.0,3.0
2020-12-12,307.0,6.0
2020-12-13,285.0,2.0
2020-12-14,274.0,2.0
2020-12-15,301.0,0.0
2020-12-16,406.0,5.0
2020-12-17,301.0,3.0
2020-12-18,421.0,5.0
2020-12-19,341.0,4.0
2020-12-20,236.0,4.0
2020-12-21,751.0,0.0
2020-12-22,253.0,0.0
2020-12-23,0.0,0.0
2020-12-24,0.0,13.0
2020-12-25,0.0,-13.0
2020-12-26,0.0,0.0
2020-12-27,0.0,0.0
2020-12-28,-661.0,3.0
2020-12-29,287.0,26.0
2020-12-30,416.0,13.0
2020-12-31,488.0,4.0
2021-01-01,0.0,0.0
2021-01-02,697.0,6.0
2021-01-03,287.0,7.0
2021-01-04,386.0,4.0
2021-01-05,1887.0,5.0
2021-01-06,405.0,8.0
2021-01-07,526.0,4.0
2021-01-08,672.0,9.0
2021-01-09,558.0,5.0
2021-01-10,406.0,5.0
2021-01-11,0.0,0.0
2021-01-12,847.0,9.0
2021-01-13,423.0,5.0
2021-01-14,496.0,6.0
2021-01-15,445.0,3.0
