2761,2762
3042,3043
3308,3309
2165,3437
3563,3564
3815,3871
680,1942
3400,4849
2802,2803
2921,3111
186,2690
3155,3156
3932,3933
547,4644
2188,3588
4117,4119
2825,3996
2795,2974
1101,1563
721,722
333,334
402,2326
2017,2018
1821,4651
2451,3597
2044,2596
942,943
1760,3774
2708,2975
4526,4528
2142,3677
2169,4934
587,3560
460,943
75,863
4560,4561
1296,1297
1925,3360
1393,2244
2216,2217
4626,4627
2344,2345
4995,4996
62,63
467,3068
2562,2563
1263,3417
1256,3842
2751,2752
3022,4642
1737,3027
2420,2421
3406,4500
2415,4989
3694,3695
816,2914
1306,1432
2516,3152
1077,4662
1230,1231
1,2747
2804,2839
476,3449
3397,4049
1796,1797
2200,2201
3148,3149
4299,4713
89,3019
2624,2625
1846,1848
2071,2072
224,3887
4559,4560
1064,1065
3205,3206
4885,4886
4308,4309
3216,4341
4047,4566
2760,2761
2142,4461
4404,4410
4771,4773
252,4065
4075,4076
1585,3880
3784,3785
3144,3727
3712,3714
1467,1468
3283,3871
1872,3603
1929,1939
1442,1443
1712,1807
1070,1544
643,814
654,1188
4300,4301
479,1538
1458,4252
3379,3380
2583,4621
174,1589
2042,4647
2443,4821
4796,4797
2606,3254
428,4057
383,4309
2132,2133
4074,4688
1672,1673
1548,1549
1449,4360
3337,3967
1323,1324
577,1229
4584,4585
2412,2414
1379,1380
494,1252
4138,4139
777,3437
2486,2487
4204,4205
4140,4142
2332,4662
1090,1091
29,4931
3727,4521
2975,4138
4847,4848
2735,4996
567,1546
266,619
3449,4919
2064,4769
630,644
3212,4210
235,4067
1121,1122
4382,4383
1059,3487
4206,4208
440,3537
1861,2006
209,1130
3116,4374
4858,4859
2340,2341
1964,1965
2868,3400
1290,2722
3636,4637
3058,3418
3191,3756
598,4637
2479,4297
165,166
3989,4623
3306,4360
923,2091
2185,2723
2086,2087
909,910
1462,3211
1598,1599
4437,4438
546,2521
949,950
1135,1136
3997,3998
3403,4087
1313,1438
240,241
2401,2402
1282,1283
1577,4610
1480,4586
1776,1777
1172,3993
3482,3483
92,4494
1977,1978
4279,4280
1288,1289
3661,3662
1638,2547
4224,4609
1423,1424
2827,2828
751,752
2428,4756
2667,2668
1572,4420
151,152
4207,4208
962,1224
279,4293
2135,4718
4042,4043
3163,3167
2366,3552
674,4352
65,1264
3812,3813
2308,2309
1887,4080
2114,2154
4037,4039
109,110
159,4190
498,500
4206,4207
2199,2201
392,4669
2364,2365
1871,4368
141,830
4954,4956
2431,4699
1011,4331
1510,4266
2563,4647
62,4940
2859,2861
1241,2031
536,537
3642,3643
2563,4637
331,1820
1279,1281
1020,3020
4179,4965
889,890
4290,4291
2093,4521
985,986
2006,4641
3005,4716
