1523,1524
1810,3506
1260,1261
361,1465
1928,4041
2034,2505
4023,4024
1103,1104
1150,1151
224,225
2533,3958
3429,4453
2112,2113
2443,4982
3785,3787
1050,2672
4003,4375
0,3670
2039,2040
509,2607
513,514
195,196
1786,2152
4003,4004
1991,1993
3029,3289
621,624
484,1435
4466,4467
4341,4342
173,2956
475,1632
1142,1622
1234,1235
2627,4756
4783,4784
2356,2357
2162,4607
131,4357
314,2930
1998,2001
4280,4281
3245,4175
2110,4006
3470,3471
2504,2505
2583,2584
2507,2508
490,491
2406,2407
3194,3195
4879,4880
3700,3701
2922,3059
3512,4814
2132,3282
4535,4537
1095,4535
67,2088
254,260
1122,2043
507,3396
330,2719
2760,4954
2506,2511
783,3647
355,1708
4094,4095
2124,4428
985,4727
2491,4375
3309,3310
4339,4340
3882,4034
899,900
860,4616
1549,1550
324,1697
1251,2173
1015,1016
1698,1699
2236,3631
1784,1926
3804,3805
1086,2712
2403,2404
2393,4289
4126,4127
4082,4288
3715,4465
603,2546
1373,1716
4089,4323
1681,1682
1740,2683
3691,3693
1820,2298
3148,3149
3658,3659
2471,2472
2225,3572
915,1974
3135,3137
3485,3486
669,670
3227,4993
3072,3073
190,452
1442,2429
2371,3545
3559,3561
230,2952
529,4177
2575,3368
4342,4343
1570,3248
1696,1697
2427,2429
3481,4499
1438,1440
3165,3166
384,1303
490,4498
2782,4068
3171,3172
1411,1412
3426,3427
2562,2563
767,4591
2383,4874
3852,3853
1037,1038
855,3952
779,1303
2537,2538
4815,4819
1461,2677
965,4601
3679,3680
1119,3974
4705,4706
3518,3519
2563,2566
1997,2301
194,195
1309,4490
505,2654
2385,2386
65,66
1886,1971
1117,1118
1944,1945
1441,3393
3644,3645
3958,3960
3111,4535
1885,1887
135,4721
1112,3318
4234,4237
2374,2375
2279,2280
1190,4391
4590,4591
1174,3133
4539,4541
2201,4051
4240,4241
2164,2165
311,312
2089,2090
2155,2157
2018,3901
4980,4982
2495,2857
3873,4152
47,2323
1385,2338
1443,1829
1537,3819
518,1691
1946,4703
2977,2978
1021,1022
161,2745
3072,3548
1050,4103
2027,2528
477,3757
651,3230
1138,1139
609,4197
4535,4536
1439,1440
3713,3714
1682,1682
1108,2535
1564,3952
1983,4489
2002,2003
1731,1853
1501,1502
2646,4716
202,1328
2079,2855
1932,1933
1554,4368
1212,1809
67,4935
1570,2569
360,1398
1756,3033
2679,3878
4837,4838
4536,4537
2816,2817
483,486
2060,3089
955,2105
1582,4704
3515,3517
1182,1183
513,1502
1875,2520
1511,4541
1450,1451
22,23
2034,3325
1648,1649
4117,4118
3188,3189
784,3827
3750,3752
2832,2902
475,1546
3234,3947
1680,1682
3035,3036
1614,1827
4873,4874
2218,4669
2189,2712
889,3660
783,4240
1373,1374
1203,4304
2508,2510
1315,2984
2056,2057
1995,3775
908,3863
1530,2651
885,1733
163,3690
2026,2857
2843,2844
1731,1732
2518,2519
1537,3145
736,737
1076,1077
1016,3986
1952,1953
1569,1570
172,2067
2833,3281
3043,3044
630,631
1697,1699
665,4223
2668,2836
300,1575
1270,3920
1967,1968
3000,3686
1110,2156
3732,3733
1461,1462
1881,2264
2049,2050
355,356
1603,3752
1112,1792
2465,2467
1599,2384
4360,4361
635,636
4000,4001
4293,4342
2115,2116
1995,1996
0,1187
2324,2325
769,2642
1373,4320
4686,4687
4164,4425
3135,3136
432,3840
1441,1442
829,830
2000,3977
3197,3198
4500,4501
517,3630
1016,1958
26,526
2218,2952
2361,2921
667,2055
2304,2305
823,1833
3241,4786
4332,4333
1831,3331
1339,1340
1603,3499
123,2470
2225,4912
2364,3689
2664,2666
3166,3167
429,430
3070,3071
4482,4484
2085,2986
120,1439
4460,4560
929,4725
1259,2393
2200,3670
440,4206
872,1451
2472,3462
763,3120
962,963
3796,3798
77,1731
1104,1106
4394,4395
463,4596
3424,4923
1460,1461
4567,4568
2074,4349
1485,2912
1461,1463
3373,3374
1663,3285
2619,2620
1939,3388
1587,2647
3252,4378
1492,1493
1345,4389
744,3026
2224,2225
4175,4176
3856,3857
2630,2631
2502,3690
3138,3466
2834,2836
1376,2429
4860,4862
3077,4289
2266,2521
4149,4150
2393,2394
4106,4107
3630,3631
4400,4401
1813,1817
1312,4683
3515,3516
